Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,B365CH,B365CD,B365CA,B365C>2.5,B365C<2.5
06/08/2022,Lions,Eagles,1,0,1.82,4.56,4.67,1.81,2.36,1.78,4.17,4.37,1.8,2.11
09/08/2022,Lions,Bears,0,1,1.74,4.92,6.06,1.93,2.35,1.56,4.59,5.86,1.77,2.15
12/08/2022,Lions,Wolves,0,0,1.39,5.35,8.08,1.7,2.24,1.4,5.24,8.09,1.71,2.24
15/08/2022,Lions,Foxes,3,0,1.32,6.65,11.46,1.6,2.53,1.29,6.12,10.8,1.61,2.44
18/08/2022,Lions,Otters,2,1,1.22,7.48,15.68,1.76,2.52,1.22,6.93,14.29,1.6,2.47
21/08/2022,Lions,Rabbits,3,2,1.16,10.06,24.17,1.57,3.07,1.13,9.59,23.89,1.44,2.97
24/08/2022,Lions,Moles,0,1,1.18,16.67,47.98,1.27,4.62,1.06,15.86,46.29,1.26,4.25
27/08/2022,Eagles,Lions,1,1,2.84,4.03,2.9,2.05,1.99,2.54,3.79,2.67,1.88,2.01
30/08/2022,Eagles,Bears,1,1,1.93,4.31,4.49,1.97,2.1,1.78,4.17,4.37,1.8,2.11
02/09/2022,Eagles,Wolves,2,1,1.58,4.93,6.08,1.95,2.24,1.56,4.59,5.86,1.77,2.15
05/09/2022,Eagles,Foxes,1,1,1.52,5.2,8.01,1.83,2.29,1.42,5.18,7.61,1.68,2.29
08/09/2022,Eagles,Otters,2,0,1.44,6.34,10.49,1.86,2.51,1.32,5.72,9.9,1.68,2.29
11/09/2022,Eagles,Rabbits,2,0,1.3,7.48,17.71,1.52,2.93,1.2,7.52,15.8,1.53,2.66
14/09/2022,Eagles,Moles,4,0,1.14,12.85,30.73,1.5,3.89,1.1,11.56,28.61,1.33,3.61
17/09/2022,Bears,Lions,1,2,3.46,4.2,2.37,2.0,2.01,3.19,3.8,2.2,1.93,1.95
20/09/2022,Bears,Eagles,0,0,2.57,3.78,2.95,1.91,2.15,2.54,3.79,2.67,1.88,2.01
23/09/2022,Bears,Wolves,0,3,1.81,4.57,4.36,1.92,2.11,1.8,4.04,4.37,1.92,1.96
26/09/2022,Bears,Foxes,2,2,1.7,4.68,5.64,2.06,2.03,1.61,4.39,5.49,1.84,2.05
29/09/2022,Bears,Otters,2,0,1.53,4.65,7.31,2.04,2.18,1.48,4.7,6.97,1.87,2.02
02/10/2022,Bears,Rabbits,2,1,1.38,5.74,11.0,1.77,2.31,1.31,5.8,10.52,1.71,2.25
05/10/2022,Bears,Moles,2,1,1.31,9.16,19.1,1.48,3.05,1.17,8.2,17.56,1.47,2.87
08/10/2022,Wolves,Lions,0,1,4.17,4.37,2.1,2.05,1.94,4.1,3.96,1.87,1.94,1.94
11/10/2022,Wolves,Eagles,1,1,3.35,3.98,2.25,2.16,2.09,3.19,3.8,2.2,1.93,1.95
14/10/2022,Wolves,Bears,0,0,2.85,3.92,2.89,2.19,1.97,2.57,3.68,2.7,2.01,1.88
17/10/2022,Wolves,Foxes,1,0,2.09,4.2,4.69,2.19,1.94,1.87,3.9,4.14,2.0,1.89
20/10/2022,Wolves,Otters,1,1,1.79,4.49,5.67,2.1,2.06,1.69,4.06,5.14,2.06,1.84
23/10/2022,Wolves,Rabbits,1,1,1.48,4.81,7.87,2.14,2.16,1.46,4.74,7.39,1.9,1.98
26/10/2022,Wolves,Moles,0,2,1.27,6.82,12.07,1.8,2.52,1.28,6.22,11.49,1.63,2.39
29/10/2022,Foxes,Lions,1,1,5.2,4.26,1.8,1.87,2.18,5.12,4.27,1.66,1.87,2.02
01/11/2022,Foxes,Eagles,2,0,3.85,4.13,2.16,1.93,2.12,3.88,3.96,1.92,1.89,2.0
04/11/2022,Foxes,Bears,1,0,3.36,3.88,2.35,2.25,2.11,3.05,3.72,2.3,2.0,1.89
07/11/2022,Foxes,Wolves,0,0,2.48,3.64,2.87,2.25,1.94,2.48,3.64,2.83,2.07,1.82
10/11/2022,Foxes,Otters,2,1,2.05,3.97,4.36,2.3,1.97,1.9,3.78,4.15,2.14,1.77
13/11/2022,Foxes,Rabbits,1,2,1.62,4.56,6.28,2.03,1.99,1.61,4.24,5.77,2.01,1.88
16/11/2022,Foxes,Moles,3,0,1.38,5.26,9.22,1.96,2.36,1.38,5.3,8.59,1.73,2.2
19/11/2022,Otters,Lions,1,2,6.78,5.12,1.57,2.12,1.99,6.46,4.54,1.52,1.9,1.98
22/11/2022,Otters,Eagles,0,1,5.3,4.24,1.83,2.03,2.01,4.82,4.1,1.72,1.95,1.93
25/11/2022,Otters,Bears,0,3,3.91,3.98,2.06,2.32,1.97,3.71,3.73,2.03,2.1,1.8
28/11/2022,Otters,Wolves,4,1,2.93,3.96,2.56,2.35,1.77,2.96,3.54,2.44,2.22,1.72
01/12/2022,Otters,Foxes,1,1,2.53,3.52,2.96,2.26,1.91,2.51,3.53,2.86,2.23,1.72
04/12/2022,Otters,Rabbits,0,1,1.85,3.99,4.98,2.42,1.89,1.82,3.77,4.61,2.26,1.7
