Date,HomeTeam,AwayTeam,FTHG,FTAG
10/08/2024,Lions,Eagles,0,1
13/08/2024,Lions,Bears,2,1
16/08/2024,Lions,Wolves,3,1
19/08/2024,Lions,Foxes,4,1
22/08/2024,Lions,Otters,7,0
25/08/2024,Lions,Rabbits,3,0
28/08/2024,Lions,Moles,4,2
31/08/2024,Eagles,Lions,3,0
03/09/2024,Eagles,Bears,3,1
06/09/2024,Eagles,Wolves,1,1
09/09/2024,Eagles,Foxes,3,0
12/09/2024,Eagles,Otters,4,1
15/09/2024,Eagles,Rabbits,2,1
18/09/2024,Eagles,Moles,2,2
21/09/2024,Bears,Lions,1,1
24/09/2024,Bears,Eagles,1,1
27/09/2024,Bears,Wolves,2,1
30/09/2024,Bears,Foxes,0,1
03/10/2024,Bears,Otters,3,1
06/10/2024,Bears,Rabbits,2,0
09/10/2024,Bears,Moles,4,0
12/10/2024,Wolves,Lions,2,3
15/10/2024,Wolves,Eagles,1,3
18/10/2024,Wolves,Bears,1,0
21/10/2024,Wolves,Foxes,2,1
24/10/2024,Wolves,Otters,1,2
27/10/2024,Wolves,Rabbits,3,1
30/10/2024,Wolves,Moles,1,1
02/11/2024,Foxes,Lions,2,1
05/11/2024,Foxes,Eagles,2,1
08/11/2024,Foxes,Bears,0,2
11/11/2024,Foxes,Wolves,4,3
14/11/2024,Foxes,Otters,0,2
17/11/2024,Foxes,Rabbits,2,0
20/11/2024,Foxes,Moles,3,0
23/11/2024,Otters,Lions,0,2
26/11/2024,Otters,Eagles,0,1
29/11/2024,Otters,Bears,0,2
02/12/2024,Otters,Wolves,2,1
05/12/2024,Otters,Foxes,1,2
08/12/2024,Otters,Rabbits,1,1
11/12/2024,Otters,Moles,1,1
14/12/2024,Rabbits,Lions,1,3
17/12/2024,Rabbits,Eagles,0,4
20/12/2024,Rabbits,Bears,1,1
23/12/2024,Rabbits,Wolves,1,0
26/12/2024,Rabbits,Foxes,1,1
29/12/2024,Rabbits,Otters,1,1
01/01/2025,Rabbits,Moles,3,0
04/01/2025,Moles,Lions,0,1
07/01/2025,Moles,Eagles,0,1
10/01/2025,Moles,Bears,0,3
13/01/2025,Moles,Wolves,1,2
16/01/2025,Moles,Foxes,0,3
19/01/2025,Moles,Otters,0,3
22/01/2025,Moles,Rabbits,3,2
