date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2025-11-18,Bulgaria,Georgia,2,1,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
2025-11-18,Austria,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,Vienna,Austria,FALSE
2025-11-18,Romania,San Marino,7,1,FIFA World Cup qualification,Ploiești,Romania,FALSE
2025-11-18,Wales,North Macedonia,7,1,FIFA World Cup qualification,Cardiff,Wales,FALSE
2025-11-18,Belgium,Liechtenstein,7,0,FIFA World Cup qualification,Liège,Belgium,FALSE
2025-11-18,Dominican Republic,Martinique,0,0,CONCACAF Series,Santiago de los Caballeros,Dominican Republic,FALSE
2025-11-18,Saint Kitts and Nevis,Belize,2,6,CONCACAF Series,Basseterre,Saint Kitts and Nevis,FALSE
2025-11-18,Antigua and Barbuda,Guyana,1,4,CONCACAF Series,North Sound,Antigua and Barbuda,FALSE
2025-11-18,Iran,Uzbekistan,0,0,Al Ain International Cup,Al Ain,United Arab Emirates,TRUE
2025-11-18,Guatemala,Suriname,3,1,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE
2025-11-18,Panama,El Salvador,3,0,FIFA World Cup qualification,Panama City,Panama,FALSE
2025-11-18,Jamaica,Curaçao,0,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE
2025-11-18,Trinidad and Tobago,Bermuda,2,2,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,FALSE
2025-11-18,Costa Rica,Honduras,0,0,FIFA World Cup qualification,San José,Costa Rica,FALSE
2025-11-18,Haiti,Nicaragua,2,0,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
2025-11-19,Laos,Vietnam,0,2,AFC Asian Cup qualification,Vientiane,Laos,FALSE
2025-11-20,Vanuatu,Solomon Islands,2,1,MSG Prime Minister's Cup,Port Moresby,Papua New Guinea,TRUE
2025-11-20,Papua New Guinea,Fiji,2,0,MSG Prime Minister's Cup,Port Moresby,Papua New Guinea,FALSE
2025-11-23,Papua New Guinea,Vanuatu,2,2,MSG Prime Minister's Cup,Port Moresby,Papua New Guinea,FALSE
2025-11-25,Mauritania,Kuwait,0,2,Arab Cup qualification,Al Rayyan,Qatar,TRUE
2025-11-25,Syria,South Sudan,2,0,Arab Cup qualification,Doha,Qatar,TRUE
2025-11-25,Palestine,Libya,0,0,Arab Cup qualification,Al Rayyan,Qatar,TRUE
2025-11-26,Oman,Somalia,0,0,Arab Cup qualification,Doha,Qatar,TRUE
2025-11-26,Bahrain,Djibouti,1,0,Arab Cup qualification,Al Rayyan,Qatar,TRUE
2025-11-26,Sudan,Lebanon,2,1,Arab Cup qualification,Al Rayyan,Qatar,TRUE
2025-11-26,Comoros,Yemen,4,4,Arab Cup qualification,Doha,Qatar,TRUE
2025-12-01,Tunisia,Syria,0,1,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-01,Qatar,Palestine,0,1,Arab Cup,Al Khor,Qatar,FALSE
2025-12-02,Morocco,Comoros,3,1,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-02,Saudi Arabia,Oman,2,1,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-02,Egypt,Kuwait,1,1,Arab Cup,Lusail,Qatar,TRUE
2025-12-03,Jordan,United Arab Emirates,2,1,Arab Cup,Al Khor,Qatar,TRUE
2025-12-03,Algeria,Sudan,0,0,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-03,Iraq,Bahrain,2,1,Arab Cup,Doha,Qatar,TRUE
2025-12-04,Palestine,Tunisia,2,2,Arab Cup,Lusail,Qatar,TRUE
2025-12-04,Qatar,Syria,1,1,Arab Cup,Al Rayyan,Qatar,FALSE
2025-12-05,Oman,Morocco,0,0,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-05,Comoros,Saudi Arabia,1,3,Arab Cup,Al Khor,Qatar,TRUE
2025-12-06,Kuwait,Jordan,1,3,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-06,United Arab Emirates,Egypt,1,1,Arab Cup,Lusail,Qatar,TRUE
2025-12-06,Bahrain,Algeria,1,5,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-06,Sudan,Iraq,0,2,Arab Cup,Doha,Qatar,TRUE
2025-12-07,Qatar,Tunisia,0,3,Arab Cup,Al Khor,Qatar,FALSE
2025-12-07,Syria,Palestine,0,0,Arab Cup,Al Rayyan,Qatar,TRUE
2025-12-08,Morocco,Saudi Arabia,1,0,Arab Cup,Lusail,Qatar,TRUE
2025-12-08,Oman,Comoros,2,1,Arab Cup,Doha,Qatar,TRUE
2025-12-09,Egypt,Jordan,0,3,Arab Cup,Al Khor,Qatar,TRUE
2025-12-09,United Arab Emirates,Kuwait,3,1,Arab Cup,Doha,Qatar,TRUE
2025-12-09,Algeria,Iraq,2,0,Arab Cup,Al Rayyan,Qatar,TRUE
